runid,fillid,starttime
298319,9801,2024-06-19 16:12:13+00:00
298302,9801,2024-06-19 15:17:40+00:00
297923,9776,2024-06-14 10:04:41+00:00
297922,9776,2024-06-14 10:04:30+00:00
297921,9776,2024-06-14 09:58:34+00:00
297920,9776,2024-06-14 09:58:25+00:00
297919,9776,2024-06-14 09:58:16+00:00
297917,9776,2024-06-14 09:58:02+00:00
297826,9776,2024-06-13 15:13:05+00:00
297479,9734,2024-06-08 01:23:54+00:00
297478,9734,2024-06-08 01:22:27+00:00
297282,9708,2024-06-05 08:20:32+00:00
297280,9708,2024-06-05 07:49:11+00:00
297279,9708,2024-06-05 07:43:52+00:00
297278,9708,2024-06-05 07:38:38+00:00
297276,9708,2024-06-05 06:58:26+00:00
297275,9708,2024-06-05 06:48:40+00:00
297274,9708,2024-06-05 06:36:24+00:00
297273,9708,2024-06-05 06:34:24+00:00
297272,9708,2024-06-05 06:31:11+00:00
297271,9708,2024-06-05 06:28:52+00:00
297270,9708,2024-06-05 06:26:27+00:00
297269,9708,2024-06-05 06:24:14+00:00
297268,9708,2024-06-05 06:21:57+00:00
297266,9708,2024-06-05 06:07:19+00:00
297265,9708,2024-06-05 06:06:37+00:00
297264,9708,2024-06-05 05:42:51+00:00
297263,9708,2024-06-05 05:32:02+00:00
297262,9708,2024-06-05 05:21:25+00:00
297260,9708,2024-06-05 05:07:30+00:00
297259,9708,2024-06-05 05:04:26+00:00
297258,9708,2024-06-05 05:01:37+00:00
297257,9708,2024-06-05 05:00:50+00:00
